职位,薪水,经验,学历,关键词,工作地址
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
重庆铜梁区铜梁万达广场3213
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
邵阳隆回县广电大厦5641
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
黄州区黄冈黄州万达广场6512
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
迎江区万达广场(安庆店)4456
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
岳阳岳阳楼区国贸大厦写字楼5631
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
南岸区万达广场(重庆南坪店)5236
查看地图"
AI图片视频制作,150-200元/天,,大专,"工作职责：
1、 与团队共同学习并熟悉AI技术和产品（包括Deepseek、Midjourney、Runway、即梦、可灵、海螺和豆包等），专业人员从零教起，运用ai技术全面深入地参与内容的全流程及各环节。
2、 负责制作电商销售视频、数字人带货、等AIGC视频内容。
任职要求：
1、 大专及以上学历，影视制作、编导等相关专业优先；
2、 熟练使用剪映等短视频剪辑软件（必须项）；
3、 具备良好的审美能力和较强的学习能力；
4、 具有团队协作精神，做事专注、做人向上；","工作地点
浙江省杭州市西湖区荆山岭路2号汇峰国际
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
兴隆台区万达广场(盘锦店)5345
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
兴隆台区万达广场(盘锦店)5634
查看地图"
自媒体视频编辑,3000-5000元,1-3年,学历不限,"岗位内容：
1. 负责各类视频素材的筛选、剪辑工作，保证视频质量和创意水准。
2. 重点把握影片的节奏，对影片的剪辑进行创新设计，使之具有一定的观赏性和信息传递性。
3. 完成剪辑工作前，对原始素材进行筛选、分类和标注，为制作顺利进行提供基础条件。
4. 协助团队完成其他制作工作，例如声音的调配、场景的选择等。
任职要求：
1. 熟练掌握剪辑技术，熟悉各种剪辑软件，能够快速完成任务。
2. 具备良好的创新能力和较高的思维活跃度，善于捕捉影片中的亮点和突出部分。
3. 较高的学习能力，能根据项目需求不断学习新技术。
4. 具有团队合作精神和高度的责任心，有良好的沟通能力和表达能力。","工作地点
细河区阜新市市高中西门对面（宏远教育）
查看地图"
视频助理编辑,4000-5000元,经验不限,学历不限,"岗位内容：
1. 负责视频剪辑、后期制作，包括素材的选取、处理和编辑等工作。
2. 配合导演的要求完成视频剧本创意的呈现，保证角色、场景、音效等资料的完整性和精准度。
3. 使用专业视频软件，完成音频、视频、特效的调整和混合，确保视觉与听觉效果的协调性。
4. 了解相关技术规范并遵守，制作出符合企业及标准的优秀影片。
任职要求：
1. 具备优秀的剪辑技能，有相关工作经验者优先。
2. 熟练掌握专业剪辑软件，如Premiere Pro、Final Cut Pro等。
3. 熟知后期制作流程，对影视行业有充分理解。
4. 具备良好的沟通、协作能力，团队合作意识强。","工作地点
广东省汕头市龙湖区金霞街道T3工业大厦
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
珠晖区万达广场(衡阳酃湖店)5431
查看地图"
新媒体视频编辑,4000-6000元,经验不限,大专,"1. 内容策划与制作：负责制定短视频内容策略，根据受众喜好和平台特点，规划内容创作方向和主题。提供创意指导和内容优化建议，确保短视频内容的质量和吸引力，并进行后期剪辑制作。
2. 平台管理与维护：管理短视频平台账号，包括发布、编辑和删除内容。负责维护账号相关信息，如头像、封面、个人介绍等，并及时更新平台上的最新动态。
要求：
1.有过企业短视频运营经验，能够根据企业品牌定位，去构思短视频方向
能够拍摄，剪辑及发布运营
2.熟练使用剪映、PS、AI等软件，会AE，PR或MG者优先考虑","工作地点
长春宽城区东樱纺织智造
查看地图"
新媒体视频编辑,7000-8000元,3-5年,本科,"岗位内容：
1. 负责各类视频素材的筛选、剪辑工作，保证视频质量和创意水准。
2. 重点把握影片的节奏，对影片的剪辑进行创新设计，使之具有一定的观赏性和信息传递性；
3. 完成剪辑工作前，对原始素材进行筛选、分类和标注，为制作顺利进行提供基础条件；
4. 协助团队完成其他制作工作，例如声音的调配、场景的选择等。
任职要求：
1. 熟练掌握剪辑技术，熟悉各种剪辑软件，能够快速完成任务。
2. 具备良好的创新能力和较高的思维活跃度，善于捕捉影片中的亮点和突出部分。
3. 较高的学习能力，能根据项目需求不断学习新技术。
4. 具有团队合作精神和高度的责任心，有良好的沟通能力和表达能力。","工作地点
深圳市龙华区观湖街道环观中路 360 号
查看地图"
动画制作与视频编辑,4000-6000元·13薪,1-3年,本科,"我们正在寻找一位专业剪辑师，
负责视频内容的剪辑、特效处理和音效调整。
工作内容：
包括ai动漫视频剪辑、特效制作、音效调整、输出成品等。
岗位要求：
1. 影视、传媒等相关专业本科及以上学历；
2. 1年以上剪辑师工作经验；
3. 熟练掌握常用的剪辑软件；
4. 对影视作品有独特的审美和见解；
5. 良好的沟通能力和团队合作精神。","工作地点
宜宾市-叙州区-天枢路22号
查看地图"
视频编辑,5000-8000元,经验不限,大专,"岗位内容：
1. 负责公司视频、微电影等多媒体制作物的剪辑及后期制作工作。
2. 对剪辑风格、配乐、画面调色方案做出策略建议，以获取更好的制作效果。
3. 利用剪辑手段，将冗长或无关的镜头剪辑掉，突出核心信息，提高制作品质。
4. 整合制作资源，并在时间节点内按要求完成各类视频制作任务。
5. 善于发掘优秀素材，不断创新，提高制作品质，实现预期目标。
任职要求：
1. 拥有敏锐的审美和极强的表现力，熟悉各种影视元素的运用。
2. 具有较高的时间管理能力和责任心，能承受一定的工作压力。
3. 拥有优秀的沟通能力和团队协作精神，能够有效地与导演、平面设计师等协同合作。","工作地点
焦作解放区恒基财富大厦8楼816
查看地图"
视频编辑,6000-10000元,3-5年,大专,"岗位要求
1. 工作经验：有2-5年以上工作经验，熟练掌握Premiere、Final Cut Pro等视频剪辑软件者优先。
2. 行业专业：深入了解会议、会展行业相关专业知识，熟悉发展趋势和最新动态。剪辑出符合行业标准和客户期望的作品。
3. 相关技能：具备摄影、摄像知识，了解拍摄原理和技巧。熟悉视频文件格式、编码原理，能处理不同格式文件。
4. 线下工作：适应线下环境，面对面沟通协作。能前往拍摄现场，确保剪辑与拍摄意图一致。
5. 服从管理，乐于沟通，需遵守公司针对外协团队管理的相关规章制度和流程。
福利待遇
1. 灵活工作时间：根据项目需求和个人情况，协商确定工作时间。
2. 合理薪酬待遇：薪酬结构清晰，根据工作量和质量提供竞争力回报。
3. 培训学习机会：提供内部培训、外部研讨会等，提升专业技能。
4. 稳定工作资源：提供充足工作资源，可保持工作外部团队加入公司的连续性和稳定性。
5. 开放合作平台：打造开放、包容、合作的工作平台，提供全方位支持，满足要求者，欢迎发送简历和作品集至招聘邮箱。","工作地点
昆明官渡区东航投资大厦
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
柯城区万达广场(衢州柯城店)4535
查看地图"
平面设计与视频编辑,3000-6000元,1-3年,学历不限,"岗位职责：
1.负责药店宣传物料设计（海报、单页、公众号配图等）；2. 制作产品介绍、活动推广等视频，完成拍摄素材剪辑、配乐、字幕等全流程；3. 配合门店营销活动，高效输出视觉宣传内容。
任职要求：
1. 1年以上设计与视频剪辑经验，熟练使用PS、AI、Pr、AE等软件；2. 能独立完成平面设计及短视频制作，有清晰审美；3. 了解医药行业宣传规范者优先；4. 沟通高效，能适配连锁门店快速宣传需求。
薪资福利：每周单休，薪资面议，享五险、节日福利、带薪年假、员工内购优惠。","工作地点
四平市-铁西区-兴达街2195号
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
振兴区万达广场(丹东店)5642
查看地图"
视频编辑,7000-10000元,1-3年,本科,"岗位职责:
1、独立完成产品/技术服务的视频化创作，包括拍摄、剪辑、特效、字幕和音频的特效及处理，突出技术服务的卖点、优势；
2、挖掘公司斑马鱼、哺乳动物、类器官和人体平台最新技术的价值，并通过创意策划和精心剪辑，形成可供传播的产品化视频；
3、牵头客户测试样品视频的创作与剪辑（客户送样检测，输出带有实验过程的产品宣传视频）；
4、参与其他视频的前期策划、包括内容方向、整片结构、创意风格的实现等。

任职资格:
1、摄影爱好者，熟练掌握PR、AE、剪映、FinalCut、PS等视频剪辑和3d建模、设计软件；
2、良好的艺术修养和审美格调，对影片的主题创意、镜头语言、画面质感、构图、色彩、音效、节奏等方面有很好的把握；
3、思维活跃，脑洞大，语言表达力强；
希望你谦逊坦诚、热情担当、皮实爱折腾；
4、年龄不限、性别不限。

薪资福利：
1、双休，转正即交五险一金；
2、提供餐费补贴、生日礼券、节日福利、年度体检、团建活动等等；
3、丰厚的年终奖和完善的内部晋升机制；
职位福利：绩效奖金、每月餐补、员工旅游、带薪年假。","工作地点
杭州滨江区万轮科技园环特生物
查看地图"
视频编辑（新媒体拍摄剪辑专员）,6000-10000元,5-10年,本科,"岗位职责：
1.负责公司各类视频的拍摄、剪辑、视频输出工作，包括拍摄前的道具准备工作及协调工作；
2.根据公司要求，完成视频设计、剪辑、特效制作以及包装，把控视频的内容、节奏和美感，对成片负责；
3.为各业务部门提供视频制作相关的技术支持与辅助，协助解决视频内容方面的需求；
4.对公司内部相关人员进行视频拍摄、剪辑基础知识的培训，提升团队整体的视频内容能力；
5.负责公司视频素材的管理及定期整理，分档归类，做素材备份；
6.负责公司视频拍摄与制作设备的日常维护、保养、借用登记与管理，确保设备状态良好。
任职资格：
1.本科及以上学历，数字媒体艺术、动画、影视后期等相关专业优先； 具有电商平台视频剪辑经验的、或具有抖音等新媒体端产品销售剪辑经验的优先；
2.拥有3年及以上专职视频策划、拍摄及后期制作工作经验，需提供个人作品集；
3.熟练掌握视频剪辑软件（如：Adobe Premiere, Final Cut Pro, After Effects, DaVinci Resolve等），有良好的审美和创意思维；
4.责任心强，积极主动，具备优秀的沟通组织协调能力及团队协作能力。","工作地点
城阳区青岛根源生物技术集团有限公司
查看地图"
视频编辑,6000-8000元,1-3年,大专,"岗位职责：
1.负责天津基地影视后期项目全流程执行工作；（包含基地企业形象类、基地产品平面摄影、视频拍摄剪辑后期项目）；
2.负责天津基地短视频自媒体矩阵经营管理维护及内容执行；
3.建立各类执行标准规范，并完成影视项目内容管理，制定输出月度、周工作计划；
4. 负责产品影视素材存放规范管理及维护，保障影视素材竞争力；
5. 负责对线上影视内容进行后台数据分析，定期总结并进行迭代优化，并制定影视制作规范、定期输出项目总结；
6. 负责动视组与其他夸组夸部门工作对接，以及日常内部协助类影视拍摄项目执行；
7. 负责新产品平面拍摄8大镜及卖点、特殊角度拍摄，独立完成高质量内容输出；；
8. 负责新产品上市宣传视频宣传片、短视频执行拍摄；
9. 负责影棚及影视设备管理，定期维护保养和清点；
10. 负责基地线上直播活动。
任职要求：
1. 2年以上品牌/影视相关工作经验，大专以上学历，动画、影视、数字媒体等相关专业毕业，具有良好的创意表达思维，有乙方从业经验者优先；
2. 熟练使用AE、Premiere、PS、AI等后期剪辑软件，熟悉视频类型及相应制作流程；
3. 熟悉短视频平台上的所有玩法，研究、追踪热门视频，参与制定引流方向并高效产出热点视频内容，提高账号影响力及用户的关注度和粘性；
4. 具备一定审美能力，对潮流热点敏感，了解年轻人的潮流趋势。能够挖掘创意和思考产品形象包装推广方向，持续的高质量创意输出 ，总结执行范式；
5. 有影视项目执行经验，及用户运营经验，喜欢独立思考，执行力强，表达力强，热爱生活关注细节，善于团队协作，对营销充满好奇心，能承受较强的工作压力。","工作地点
武清区天津深铃科技发展有限公司
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
嘉兴南湖区万达广场3263
查看地图"
美术编辑培训生（后期、视频）,5000-7000元,无经验,本科,"【岗位职责】
1、致力于高水平设计制作满足公司需求的音视频。
2、输出原创素材，如：新能源产品、人物、动物、场景、道具、包装栏包等。
3、制作线上课程，如：微课类（PPT+音频）、知识类演示动画等。
4、制作创意视频，挖掘社会/行业热点选题，制作“蹭热点”创意视频/动画。
5、参与公司视频文案策划、脚本创作、拍摄和后期制作。
6、完成上级交给的其它工作。
※注：依据候选人擅长，满足1-2条职责方向即可。
【岗位要求】
1、本科及以上学历，2024年应届生。
2、能熟练使用PR、AE、C4D等多款后期制作软件，能熟练完成转码、栏包和特效。
3、适应短期出差，执行培训会务者优先（周末出差，2次/月左右，4天/次左右）。
4、熟练使用单反、摄像器材者优先。

5、具备文案策划、脚本策划写作者优先。
6、善于自学新知识、新技能，不畏文案，能承受持续改善工作压力。


※注：请附个人作品。希望您既热爱阅读和学习，也关心世界正在发生什么，又喜欢通过手绘或C4D表达。","工作地点
新北区常州创意园B座2001室
查看地图"
建筑新媒体：视频拍摄编辑（搜建筑）,4000-8000元,1-3年,大专,"岗位职责：
1、视频拍摄和剪辑制作：地产、建筑技术、建材方向
2、微信平台的内容编辑和撰写：地产、建筑技术、建材方向
任职要求：
1、专科及以上学历，建筑学专业；
2、熟悉地产公司业务或有建筑设计单位工作经验者优先；
3、有视频拍摄+出镜者优先（建筑学）；
4、具备良好的沟通语言表达能力、文笔流畅、有良好的策略思考能力并能独立撰写方案；","工作地点
河北省石家庄市裕华区建设南大街269号
查看地图"
短视频剪辑、编辑（拓客专员）,4000-8000元,1年以下,中专/中技,薪资待遇：  无责底薪+餐补+交补+全勤+提成，综合薪资无上限有能力、有实力者薪资可谈   岗位内容：  1. 负责各类视频素材的筛选、剪辑工作，保证视频质量和创意水准。  2. 重点把握影片的节奏，对影片的剪辑进行创新设计，使之具有一定的观赏性和信息传递性。  3. 完成剪辑工作前，对原始素材进行筛选、分类和标注，为制作顺利进行提供基础条件。  4. 协助团队完成其他制作工作，例如声音的调配、场景的选择等。    任职要求：  1. 熟练掌握剪辑技术，熟悉各种剪辑软件，能够快速完成任务。  2. 具备良好的创新能力和较高的思维活跃度，善于捕捉影片中的亮点和突出部分。  3. 较高的学习能力，能根据项目需求不断学习新技术。  4. 具有团队合作精神和高度的责任心，有良好的沟通能力和表达能力。,"工作地点
二七区郑州中物科技园
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
旌阳区万达广场(德阳店)5632
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
润州区万达广场(镇江店)5312
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
安定区万达广场(定西店)3541
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
达州通川区富德大厦(朝阳东路)4561
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
红山区万达广场(赤峰红山店)5646
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
定海区万达广场(舟山临城店)3213
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
毕节金沙县美丽星城大厦2541
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
迎江区万达广场(安庆店)4961
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
雨山区马鞍山雨山万达广场6566
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
忻府区万达广场(忻州店)3121
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
泰州姜堰区姜堰万达广场5437
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
岳塘区湘潭高新万达广场5414
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
海东化隆回族自治县兴茂大厦5616
查看地图"
视频拍摄剪辑专员,6000-9000元·13薪,1-3年,大专,"岗位职责：
1、负责家具产品拍摄及剪辑，懂场景及灯光布置，特效转场拍摄技巧，确保产品视觉呈现符合品牌调性
2、独立完成视频拍摄、剪辑、调色、配音配乐、字幕添加、节奏把控，输出符合社媒平台要求的转化内容，提升曝光量;
3、配合完成公司产品销售工具，包括产品实物多角度拍摄并图片处理、产品安装视频、实物场景图、产品对比等资料;
4、协助策划拍摄脚本，结合流行趋势及产品特性提出创意方案(如产品展示、场景化剧情、产品特性)持续优化视频风格与制作流程
5、跟踪数据反馈(如点击率、停留时长)，及时迭代视频内容策略
6、每月需进行行业与市场调研并形成文件，了解主流AI视频工具并懂得运用
研究市场行业趋势，空间搭配风格潮流趋势，每月定期输出内容报告;持续学习运用AI工具，提高日常工作效率。
任职要求：
1、熟悉PR、PS、AE、AU、剪映、即梦AI等软件
2、大专以上学历，广告、摄影、影视类专业；2年以上拍摄岗位工作经验
3、热爱摄影行业，熟悉拍摄技巧及灯光布置，有一定的审美能力和色彩感觉
4、性格开朗、有好奇心，善于沟通，团队协作能力强","工作地点
佛山南海区富凯富凯展厅
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
浦东新区万达广场(上海临港店)6354
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
滨城区滨州万达广场5631
查看地图"
海外社交媒体视频创作,8000-10000元,1-3年,大专,"【工作内容】
- 负责海外社交媒体平台（如Instagram、YouTube等）的视频内容策划与制作，提升品牌曝光度和用户互动率；
- 根据公司品牌调性及市场策略，独立完成视频脚本撰写、拍摄及后期剪辑工作；
- 跟踪并分析视频数据表现，优化内容方向和创意策略；
- 与团队协作，配合市场推广活动进行短视频内容输出。
【任职要求】
- 大专及以上学历，影视编导、传媒、广告等相关专业优先；
- 有2年以上海外社交媒体视频创作经验，熟悉主流平台运营规则；
- 具备良好的创意能力和审美素养，能独立完成视频全流程制作；
- 熟练使用Premiere、CapCut等视频剪辑软件，具备基础的摄影与灯光知识。
【我们可提供】
专业摄影棚及常用拍摄设备支持，降低创作条件限制。
按项目或按工作日灵活结算，具体方式可沟通。
可远程协作，时间安排自由，以交付质量为优先。","工作地点
深圳福田区外运大厦2层
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
红塔区玉溪红塔万达广场4254
查看地图"
视频拍摄剪辑师,5000-10000元,1-3年,学历不限,"岗位职责:
1. 负责短视频的拍摄工作，确保内容质量和创意表现
2. 进行视频剪辑，优化视觉效果，提升观看体验
任职要求:
1. 具备出色的沟通能力，能够高效完成任务
2. 能够积极配合团队工作，融入团队氛围
3. 具有持续学习和提升技能的意愿，以提高工作效率","工作地点
西安灞桥区奥的斯墅博士家用别墅电梯服务中心
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
武汉新洲区万达广场(阳逻店)6545
查看地图"
新媒体短视频剪辑,8000-12000元,经验不限,中专/中技,"岗位内容：
1. 负责视频剪辑、后期制作，包括素材的选取、处理和编辑等工作。
2. 配合导演的要求完成视频剧本创意的呈现，保证角色、场景、音效等资料的完整性和精准度。
3. 使用专业视频软件，完成音频、视频、特效的调整和混合，确保视觉与听觉效果的协调性。
4. 了解相关技术规范并遵守，制作出符合企业及标准的优秀影片。
任职要求：
1. 具备优秀的剪辑技能，有相关工作经验者优先。
2. 熟练掌握专业剪辑软件，如Premiere Pro、Final Cut Pro等。
3. 熟知后期制作流程，对影视行业有充分理解。
4. 具备良好的沟通、协作能力，团队合作意识强。","工作地点
北京朝阳区华腾新天地大厦
查看地图"
