职位,薪水,经验,学历,关键词,工作地址
幼小衔接老师,3000-6000元,1-3年,学历不限,"职位描述
早教
教师
我们正在寻找一位富有经验的幼儿园教育专家，负责设计和实施高质量的早教课程。
工作内容：
1. 开发并实施符合国家标准的早教课程；
2. 评估孩子的学习进度并提供个性化指导；
3. 与家长沟通孩子的成长和进步；
4. 参与教育研究，不断更新教育理念和方法。
岗位要求：
1. 学前教育或相关专业本科及以上学历；
2. 持有教师资格证；
3. 3年以上幼儿园教学经验；
4. 热爱教育事业，有耐心和责任心；
5. 良好的沟通能力和团队合作精神。","工作地点
天津市-北辰区-新汇广场3F
查看地图"
双语早教老师,8000-11000元·13薪,3-5年,本科,"职位描述
幼儿园
早教中心
托育中心
岗位职责：
1. 设计并实施适合不同年龄段儿童的早教课程；
2. 观察幼儿发展情况，提供个性化教育建议；
3. 组织丰富的课外活动，激发儿童的学习兴趣；
4. 与家长保持良好沟通，反馈孩子成长情况。
任职要求：
1. 本科及以上学历，幼儿教育或相关专业优先，英语口语流利；
2. 富有爱心和耐心，善于与儿童沟通；
3. 具备较强的课程设计和实施能力；
4. 有早教行业工作经验者优先；
5.有幼儿教师资格证或者育婴师资格证。
到岗时间：2026.3","工作地点
深圳福田区冠萃幼儿园(熙园校区)
查看地图"
儿童陪伴师,1.5-1.6万,经验不限,学历不限,"职位描述
早教
保育员
幼教
15K起
深圳龙华住家，妈妈和4岁孩子，请有爱心，耐心，责任心，喜欢小朋友的老师，要会早教游戏互动和幼小衔接，简单英语，行为习惯学习习惯引导，家里有做饭做卫生阿姨，薪资15000可双休","工作地点
广东省深圳市龙岗区吉华路315号
查看地图"
南师教育（集团)中铁建国际城桂园幼儿园教师,60-90元/天,,大专,"职位描述
实习证明
教师
幼儿园
岗位职责：
1、认真贯彻执行党和国家有关幼儿教育的法规、方针、政策和专业要求，树立正确的儿童观、教育观，遵守师德规范，严禁体罚和变相体罚。
2、认真执行幼儿园安全、卫生保健制度。在各种活动中，坚持保护儿童，保障儿童安全。
3、尊重幼儿，鼓励幼儿，公平对待每一位幼儿，做到耐心，细心，充满爱心。
4、坚持保教并重的原则，科学、合理地安排幼儿一日活动，结合本班幼儿的特点和个体差异，因材施教，不断提升保教质量。
5、坚持儿童利益优先的原则，根据幼儿年龄特点，教育内容，科学做好班级活动室环境的布置，游戏活动材料的提供。
6、认真做好一日活动的各项准备（计划、备课、教具学具等活动前准备），完成幼儿园规定的文本工作。
7、带班时精力集中，注意观察幼儿，关注幼儿的安全、情绪和身体状况，积极呼应幼儿需求，及时提供适当的指导，与幼儿互动温暖、高频、高质量。带班结束时做好交接班工作。
8、在保健医生的指导下，耐心细致做好幼儿生活照料，传染病高发期做好观察和防控工作。
9、观察幼儿，积累幼儿发展过程资料，完成幼儿个人发展档案，做好幼儿的个案分析。
10、认真参加各级各层的业务学习活动和教研组活动，积极承担教学观摩活动，每学期至少园内交流开放一次。及时总结教育心得，每学年递交文章参与评选。
11、协助班主任做好班级家园沟通工作（家长会、家长开放日、亲子活动、家访、学期约谈、家长问卷、突发事件沟通等），畅通家园沟通渠道，确保班级工作家长满意。
12、协助班主任做好班级固定资产和耐耗品的使用、登记和保管工作，每学年结束做好交接工作。
13、完成园领导交办的其它工作。
任职要求：
1.在思想和行动上与党中央保持一致，旗帜鲜明讲政治；坚决贯彻执行党和国家的方针、政策；
2.遵纪守法，爱岗敬业，品行端正，具有良好的职业道德；身心健康，具备正常履行岗位职责的身体条件，持有健康证；
3.具有学前教育专业大专及以上学历，持有幼儿教师资格证，具有幼儿园相应岗位工作经验；
4.具有较强的幼儿教学基本功和教育科研能力。
5.有较强的组织原则，团队意识、协调能力、责任心强，具有较强的逻辑思维能力和语言表达能力等。","工作地点
安徽省合肥市庐阳区清源路80号
查看地图"
副班老师,5000-6000元,1-3年,大专,"职位描述
助教
副班
五大领域
幼儿园
幼师资格证
教育教学
1、根据国家规定的幼儿园教育纲要，结合本班幼儿的特点和个体差异，协助主讲教师制订教育工作计划，根据教育工作计划制定本岗位实施计划；
2、观察、分析并记录幼儿发展情况；
3、严格执行幼儿园安全、卫生保健制度，指导并配合做好本班幼儿生活及卫生保健工作；
4、与家长保持经常联系，了解幼儿家庭的教育环境，商讨符合幼儿特点的教育措施，共同配合完成教育任务；
5、参加业务学习和幼儿教育研究活动；
6、定期向主讲教师汇报，接受其检查和指导；
7、完成上级领导交代的其他工作任务。

任职资格：
1、大专及以上学历，学前教育相关专业，持有幼儿教师资格证书、普通话证等证书；
2、有2年以上幼儿园带班经验优先；
3、教学实践能力强、专业技能优秀；热爱幼儿教育事业，具有较好的服务意识；
4、诚实守信，责任心强、严谨踏实；
5、熟悉3-6岁儿童学习与发展指南，幼儿园五大领域或有公办幼儿园工作经验者优先。","工作地点
北京通州区合美通州滨江帝景幼儿园
查看地图"
早教师主要带宝宝学前教育,8000-12000元,经验不限,学历不限,"职位描述
保育员
英语
岗位职责:
1. 提供专业的入户早教服务，与家长沟通孩子的成长和发展需求
2. 制定个性化的教学计划，确保教学质量和效果
3. 与团队成员协作，共同提升服务体验
任职要求:
1. 具备出色的沟通技巧，能够有效地与家长和孩子互动
2. 能够独立完成任务，同时具备良好的团队合作精神
3. 对家政服务行业有热情，愿意不断学习和成长
可兼职 可全职 可住家 可白班","工作地点
北京市-朝阳区-工人体育场东路丙2号（近世茂工三）702
查看地图"
幼儿园主班教师（金湾小林）,5000-6000元,1-3年,大专,"职位描述
幼儿园
幼师资格证
职位描述
1、学前教育专业毕业
2、喜欢小朋友、热爱幼儿教育事业
3、性格开朗、积极主动，做事认真负责、细心、耐心
任职资格：
1、学前教育专业毕业，幼儿教育等相关专业；
2、熟悉儿童生活习性，了解儿童心理；
3、具有一定的文艺表演能力，普通话标准，口齿伶俐；
4、热爱教育事业，工作积极主动、责任心强。","工作地点
珠海金湾区红旗镇小林村东进街150号
查看地图"
班级助教及艺术老师（蒙氏国际幼儿园）接受实习(J51418),7000-10000元,无经验,本科,"职位描述
双语教师
助教
美术
幼儿园
托育中心
早教中心
幼师资格证
普通话水平测试二级甲等证书
艺术类资格证书优先
可进行英文场景授课
工作职责
# 本岗位为新东方下属新东方满天星招聘
一、岗位核心职责
1. 蒙氏教育辅助：协助主班老师践行蒙台梭利教育理念，维护“有准备的环境”，引导幼儿自主选择工作，保护幼儿的专注力与探索欲，参与班级日常保教活动的组织与实施。
2. 艺术教学实施：依托艺术专业背景，设计符合3-6岁幼儿发展特点的蒙氏艺术课程，以过程性体验为核心，引导幼儿运用自然材料等多元媒介进行创意表达，培养幼儿的审美感知与艺术创造力，定期策划班级艺术展示活动。
3. 英语环境营造：以英语为主要工作语言，参与班级沉浸式英语教学，在日常互动、游戏活动及艺术课堂中融入英语表达，帮助幼儿建立英语语言感知，配合外教开展双语教学活动。
4. 幼儿成长支持：细致观察幼儿的行为与发展需求，记录成长点滴，为个性化教育引导提供依据；及时与主班老师沟通幼儿情况，协助开展家校沟通工作，传递蒙氏教育理念。
5. 教学协作配合：参与园本教研与培训，协助主班老师进行教具准备、课程设计与教学资源开发，积极融入团队，共同优化班级教育教学质量。
任职资格
二、任职资格要求
1. 硬性资质：大专及以上学历，艺术相关专业（美术、设计等）优先；持有幼儿教师资格证，具备 AMI/AMS 等蒙氏相关培训证书者优先；英语能力优秀，可流利作为工作语言，能自如开展英语教学互动与沟通。
2. 专业能力：具备扎实的艺术功底与教学能力，熟悉幼儿艺术教育规律，能将蒙氏感官教育理念融入艺术教学，擅长运用多元艺术形式激发幼儿创造力；了解蒙台梭利教育基本理念，认同“尊重儿童、关注过程”的教育原则。
3. 核心素养：热爱幼儿教育事业，对孩子有高度的爱心、耐心与责任心，能敏锐捕捉幼儿的情感与发展需求；具备良好的沟通协调能力与团队协作精神，工作积极主动，富有创新意识；情绪稳定，言行优雅得体，能成为幼儿模仿学习的良好榜样。
4. 其他要求：有国际幼儿园或蒙氏幼儿园助教工作经验者优先；具备跨学科整合教学能力，能将艺术与英语、科学、文化等领域有机融合者优先。","工作地点
北京市朝阳区亮马桥
查看地图"
幼小衔接老师,3000-6000元,经验不限,大专,"职位描述
培训机构
幼儿园
托管老师
幼师资格证
1. 根据课程计划备课、上课；
3. 学龄儿童作业辅导；
4. 与家长沟通，反馈学生的学习和生活情况。
要求：
1. 学前教育专业背景；
2. 有爱心，耐心，责任心；
3. 善于沟通，团队协作；
4. 有幼儿园工作经验者优先。","工作地点
南京市-雨花台区-龙飞路20号对面南报云客数字经济产业园沿河二栋102室
查看地图"
教师（安阳滑县园）(10672),2000-4000元,经验不限,大专,"职位描述
幼儿园
幼师资格证
岗位职责:
1.根据园所教育目标制定符合本班级的各项工作计划并带领班级老师执行；
2.管理班级幼儿安全及一日常规工作；
3.建立班级良好的家园关系。
任职要求:
1.喜爱并愿意从事幼教工作；
2.学前教育相关专业毕业，大专及以上学历；
3.普通话标准、持教师资格证。","工作地点
安阳滑县壹号城邦幼儿园建业教育幼儿园
查看地图"
幼儿园主班老师,4000-6000元,西焦,1-3年,"职位描述
幼儿园
幼师资格证
技能要求：
一、热爱幼儿教育事业，爱护幼儿，努力学习专业知识和技能，提高文化和专业水平，品德良好、为人师表，忠于职责，身体健康。
二、观察了解幼儿，依据国家规定的幼儿园课程标准，结合本班幼儿的具体情况，制订和执行教育工作计划，完成教育任务;
三、严格执行幼儿园安全、卫生保健制度，指导并配合保育员管理本班幼儿生活和做好卫生保健工作;
四、与家长保持经常联系，了解幼儿家庭的教育环境，商讨符合幼儿特点的教育措施，共同配合完成教育任务;
五、参加业务学习和幼儿教育研究活动;
六、定期向园长汇报，接受其检查和指导。","工作地点
石家庄新华区宝睿诺贝儿
查看地图"
幼儿园老师,3000-6000元,3-5年,大专,"职位描述
幼儿园
培训机构
幼师资格证
【工作内容】
1、负责幼儿园的日常教学活动，确保提供高质量的教育
2、合理组织各类教育课程，激发幼儿的学习兴趣
3、制定班务工作计划,定期召开班务会
4、把握每个幼儿生理心理特点，营造温馨的班级氛围
5、与家长保持良好沟通，反馈学生的学习进展和行为表现
【任职要求】
1、大专及以上学历，学前教育或幼师相关专业，具备幼师或教师资格证
2、具备3年以上幼儿园教学工作经验
3、普通话标准,热爱学前教育事业，有爱心,有良好的职业素养
4、优秀的沟通表达能力和良好的服务意识
【福利待遇】
1、薪酬体系：无责底薪+提成，上不封顶
2、福利体系：社会保险+带薪年假+丰富的团体活动+节日礼品+子女优惠学习+免费提供住宿","工作地点
沈阳于洪区励步儿童成长中心(怒江校区)
查看地图"
幼儿园,4000-7000元,5-10年,大专,"职位描述
混龄班主班老师
幼师
幼儿园
幼师资格证
普通话水平测试二级甲等证书
心理咨询师
自然教育
有特长
幼儿园混龄班主班老师","工作地点
河北省石家庄市裕华区建通街道塔南路青园街交口塔冢裕园内新大地巴学园新大地巴学园
查看地图"
病房学校老师,5000-7000元,1-3年,本科,职位描述培训机构幼儿园幼师资格证社会工作  工作职责 ：  1.负责服务院内/外长期住院大病儿童，开展日常活动及课程；  2.通过与患儿、家长沟通，进行访谈工作等，完成需求评估和情况跟踪；  3.负责招募志愿者，对志愿者进行培训以及评估；  4.负责与院方沟通，维护院方医护团队关系；  5.负责资方维护，定期开展线上及线下活动，维护与资方关系；  6.完成机构日常行政工作，配合基金会完成项目点数据收集、统计等工作；  7.领导交办的其他工作。      任职资格：  1.认同基金会的宗旨、使命、价值观和工作原则，认同病房学校项目的意义；  2.本科及以上学历，专业不限（有幼儿教育、小学教育、社会工作、心理学相关经验专业或工作背景者优先）；  3.具有教师资格证；  4.能积极主动、有责任心；  5.具有优秀的书面和口头表达能力；  6.擅长拓展和维护人际关系；  7.具备统筹管理所辖区域内病房学校工作能力者优先。,"工作地点
昆明市儿童医院(前兴院区)西山区前兴路 288 号昆明儿童医院
查看地图"
幼儿园实习教师,2000-3000元,1-3年,中专/中技,"职位描述
助教
幼儿园
幼师资格证
岗位内容：
1. 实施幼儿教育计划并监督学生学习进展；
2. 管理教室和学生行为，维持一个安全、积极的学习环境；
3. 与家长协商沟通，创建亲密的师生关系。
任职要求：
1. 拥有不少于两年的幼儿教育工作经验；
2. 具有幼儿或相关领域的学历
3. 热爱幼儿教育且具有耐心和细心的态度；
4. 能够主动解决问题且善于沟通交流。
5.具有教师资格证者优先","工作地点
山东省青岛市市北区宁化路51号
查看地图"
儿童成长陪伴师,8000-16000元,1-3年,大专,"职位描述
早教
保育员
英语
幼儿园
早教中心
托育中心
幼师资格证
普通话水平测试二级乙等证书
普通话水平测试二级甲等证书
英语四级以上，大专以上学历
有幼教或育儿经验者优先
儿童成长陪伴师
【薪资预算】12000-15000/26天
【服务地址】双流
【订单类型】住家服务
【订单情况】2岁4个月宝宝
【工作内容】陪伴宝宝的日常，读绘本，教儿歌，讲故事，教英语，需要带睡，没有家务
【工作要求】性格阳光开朗，
幼师，早教经验者优先","工作地点
成都武侯区中粮武侯瑞府
查看地图"
9千起聘请育婴早教师包吃住,9000-18000元,经验不限,学历不限,职位描述有无经验均可     1. 负责婴儿的日常护理 为婴儿提供科学的喂养指导，定期与家长沟通，提供育婴建议。 拥有良好的沟通能力和服务意识。 热爱婴幼儿教育事业，有耐心和责任心。             一照顾3岁以内的宝宝，不用做饭搞卫生，不用面对雇主，包吃住，床上用品、洗发水、沐浴露、洗衣液和纸巾都不用带！生活好，环境好，每天都有水果吃，月休四天可以连休，不休补工资，7000~9000一个月，年龄25~53岁。    育婴单    【时间】马上    【内容】主要带5月小宝宝，主要负责宝宝日常起居，只做早餐，午饭，简单家务    【待遇】8000至9000，每月休息4天，加国假11天    【要求】:无籍贯要求，细心干净，不计较，有责任心。有合格的体检报告。    住家育婴单    【时间】:住家    【内容】:主要带2个月小宝宝，兼顾做饭搞卫生，有过经验    【待遇】:7000-8000，每月休息4天，加国假11天。不休补工资。    【要求】:25-50岁，性格好，易相处，细心，爱干净，不计较，有责任心。有合格的体检报告。          上班地点,"工作地点
广州白云区嘉禾望岗
查看地图"
托育保育员,5000-6000元,3-5年,大专,"职位描述
早教中心
托育中心
保育员
助教
保育员职业资格证书
退休优先 退休优先 退休优先 工作职责： 负责0—3岁孩子的生活，餐点照顾。 要求： 1、身体健康，喜爱孩子； 2、有宝宝优先考虑，吃苦耐劳； 3、家住海淀甘家口周边优先考虑。 职位福利：创业公司、带薪年假、包吃","工作地点
北京市-昌平区-城北街道永安路22号05一层三里河路5号院
查看地图"
幼儿园主班老师,4000-5000元,1-3年,中专/中技,"职位描述
幼师
教师
集体授课
坐班
私立学校
幼师资格证
工作内容：
1.热爱幼儿,热爱幼儿园工作,善于与幼儿沟通,对孩子有爱心,耐心,责任心。
2.有较强的教学组织能力以及独特的教学方法。
职位要求：
1.学前教育或教育学相关专业专科及以上学历。
2一年以上幼儿园主班工作经历，并持幼儿园教师及相关的教师资格证书。
3.普通话标准，且具有较强的沟通技能和组织协调能力。
4.热爱幼儿教育事业、亲和力强、责任心强、安全意识强，团队意识强。
5.带过学前班优先。
工作时间：
周一至周五，周末双休。","工作地点
武汉洪山区清江山水幼儿园
查看地图"
福利好-增城公办幼儿园幼师,4000-6000元,经验不限,大专,"职位描述
公办幼儿园
周末双休
五险一金
岗位职责：
教学服务内容
主要是提供幼儿园的幼儿教学服务工作，开展班级教学，负责幼儿园的全面教育教学服务工作，使幼儿在体、智、德、美几方面得到全面发展。
教学服务要求
(1)遵循保教并重的原则，科学合理地安排幼儿的整日活动，促进幼儿身心健康的和谐发展。
(2)认真贯彻执行《幼儿园教育指导纲要》、《幼儿园工作规程》、《3～6岁儿童学习与发展指南》，结合幼儿的特点和个体差异，及时制定好各类教育工作计划，并认真实施，有计划有步骤地开展班级保教工作。
(3)树立正确的儿童观、教育观，热爱幼儿、尊重幼儿，建立和谐的师幼关系，创设良好的心理环境和与教育相适应的物质环境。对幼儿做到关心、细心、耐心不偏爱，坚持正面教育，严禁体罚和变相体罚幼儿。
(4)认真及时制订教育活动计划，钻研教材，研究教法，引导幼儿主动学习。观察、分析并记录幼儿发展情况，因材施教。
(5)制订学期、月、周、日计划，并结合本园本班的实际情况，做好教材、教具的准备，认真备课，保证计划的落实。
(6)以游戏化开展教学活动，要求用直观的游戏形式，让幼儿多看、多听、多想、多说、多做，调动幼儿的积极性、主动性、创造性，注意个别幼儿的差异，不断提高教育教学和游戏的质量。
(7)根据幼儿一日生活安排科学合理开展活动并开展各项主题活动。
(8)全面了解每个幼儿，建立本班幼儿教育教学档案。
(9)主动与本班教师及保育员团结协作搞好本班教育教学、卫生保健工作及生活护理。培养幼儿文明卫生习惯及良好进餐习惯。
(10)对幼儿进行初步的“五爱”教育，培养幼儿优良的品德、文明礼貌的行为、活泼开朗的性格。
(11)教师对本班幼儿的安全负责，严格执行安全制度，防止事故的发生。
(12)依据公办幼儿园教育工作计划要求，结合本班幼儿的年龄特点和个体差异，制定教育工作目标、计划，并组织实施，做好教育笔记。
（13）强化安全意识，关注幼儿活动与活动环境的安全因素，培养幼儿良好的活动常规，防止幼儿事故的发生。
（14）做好家长工作，向家长宣传科学育儿知识，根据家长的不同特点做好联系工作，争取家长配合教育。","工作地点
广州增城区中新镇第二幼儿园.
查看地图"
配班老师（中牟卓豫幼儿园）,3000-4000元,1-3年,大专,"职位描述
保育员
教师
托管老师
双语教师
幼儿园
早教中心
托育中心
幼师资格证
岗位职责:
1.尊重爱护幼儿，观察、分析、记录幼儿发展情况。
2.严格执行幼儿园安全、卫生保健制度，指导并配合保育员管理本班幼儿生活并做好卫生保健工作。
3.对幼儿态度要和蔼可亲，做到耐心、关心、细心、热心，与本班教师、保育员团结协作，搞好所在班级教育、卫生、保健及生活护理等工作。
4.认真执行幼儿的作息制度，认真安排好幼儿一日生活内容，做到动静交替，手脑并用，确保幼儿身心健康成长。
5.做好家长工作，向家长宣传正确的教养方法，每周向家长公布本周及下周的教育内容，经常与家长保持联系，及时交换意见。
任职要求:
1.有学前教育专业知识，具有1-3年学前教育工作经验，热爱幼教事业、爱孩子;
2.学前教育、教育学、心理学等相关专业大专及以上学历 ( 有经验的优秀者可放宽此限 );
3.熟悉幼教行业，熟知幼儿教育相关政策、法规;
4.具有丰富的育儿理论和班级管理工作经验，有较强的沟通能力;","工作地点
郑州市-中牟县-商都大道与泰安街交叉口西北角卓豫幼儿园
查看地图"
托育教师,3000-6000元,经验不限,大专,"职位描述
托育中心
早教
托育
任职条件：
1、持有幼儿园教师资格证书、育婴师证书、普通话2甲及以上等级证书；
2、学前教育、早期教育专业专科及以上学历；
3、爱岗敬业，具有高度的责任感和爱心。
4、有良好的沟通、合作能力；
5、有正确的儿童观、科学的幼儿教育观、良好的教师观。
6、熟练使用办公软件和现代教育媒体。
7、获得过各级教学技能比赛证书，其他相关证书优先录取。","工作地点
海州区连云港市妇幼保健院
查看地图"
幼儿园教师（福润四季园）,4000-6000元,1-3年,大专,"职位描述
幼儿园
幼师资格证
学前教育
幼教
任职资格：
1. 大专以上学历，具备幼儿教师资格证；
2. 具有1年以上幼儿教师工作经验；
3. 具有良好的专业理论知识、专业技能和综合素养；
4. 具有极强的学习动机，有良好的学习能力及抗压能力；
5. 富有爱心、责任心、耐心和细心。
岗位职责：
1. 严格遵守教职工职业道德规范，杜绝底线问题发生；
2. 负责游戏活动的支持和引导，教育活动的计划与实施以及幼儿的安全宣教工作；
3. 合理组织幼儿一日生活流程，保障幼儿身心全面健康发展，严格执行园所安全管理制度，防止安全事故发生；
4. 积极参加园所组织和安排的各种培训学习、教研活动，不断提升自身专业水平；
5. 积极与家长联系，做好家园共育工作，构建本班和谐的家园关系；
6. 与班内其他教师和保育员保持良好沟通，管理班级其它事务性工作，能够起到上传下达的作用并促进班级和谐发展。

职位亮点：

公办普惠性质 行业优秀品牌 集团规范管理 多渠道培训 园所环境温馨 福利体系健全 轮休寒暑假 免费提供食宿

职位福利：公办普惠性质、行业优秀品牌、集团规范管理、多渠道培训、园所环境温馨、福利体系健全、轮休寒暑假","工作地点
北京市朝阳区朝花幼儿园(福润四季园)
查看地图"
幼儿园教师（南阳绿色家园园）(J12005),2000-4000元,经验不限,大专,职位描述幼儿园早教中心托育中心幼师资格证  岗位职责:  1.协助班主任制定班级班务计划，并按计划开展各项保教活动；  2.科学组织班级一日生活活动，实施班级集体教学活动，积极参与创设班级环境，及时向家长反馈教学进度；  3.负责班级幼儿观察评估，完成幼儿成长档案；  4.协助组织班级家访、家长开放日、家长会等活动，向家长反馈幼儿在园学习和生活情况，做好家长沟通工作；  5.参与班级幼儿早晚接送工作，关注幼儿出勤，监督幼儿在教学、室内外活动、进餐、离园等各环节的安全，及时发现班级安全隐患并及时处理；  6.班主任或领导交办的其他工作。  任职要求:  1.热爱幼儿和幼教行业，富有爱心、耐心、亲和力强，工作积极主动，有上进心，团队意识强，遵守职业道德；  2.学前教育、早期教育等相关专业毕业，大专及以上学历，普通话标准，持有幼儿教师资格证；  3.有幼儿教师工作经验者优先。,"工作地点
卧龙区南阳建业绿色家园建业教育幼儿园
查看地图"
幼儿园副班老师,2000-4000元,无经验,学历不限,"职位描述
幼教老师
有无工作经验都可以，在校生应届生毕业生都可以！
只要你喜欢孩子，有责任心，有团队意识，吃苦耐劳，就可以！
期待你的到来！欢迎你！
双休，供午饭，提供住宿，法定节假日休息","工作地点
沈阳铁西区高高幼儿园
查看地图"
月子中心急招育婴师不会可教,6000-9000元,经验不限,学历不限,"职位描述
托管老师
幼儿园
早教师工作内容:
婴幼儿运动能力发展
1)宝宝粗大动作能力训练:1.抬头、翻身、训练2.坐、爬行动作的训练:3.站立、行走训练方法4.跑跳动作的练习5.模仿操
2)宝宝精细动作能力训练:1.常用玩具2手指操婴幼儿语言能力发展:1.念儿歌、说故事、帮助宝宝丰富词句，学会语言使用，建立良好的人际关系
婴幼儿认知能力发展:1.感知觉训练(触觉、听觉、视觉、嗅觉、味觉)
婴幼儿安全和护理技能:1)呛奶的处理2)预防吞食衣物3)鼻子出血处理方法4)常见意外事故处理
婴幼儿日常保健及照料
1)乳牙萌出护理1.按摩牙龈2添加辅食缓解牙龈肿痛、适当的凉爽流质或半流质或软食。
2)三种喂养1.母乳喂养2.人工喂养3.混合喂养
3)良好的睡眠习惯养成
4)护理技能强化1.不同月龄阶段主被动操2婴幼儿抚触婴幼儿行为习惯和兴趣培养1)良好行为习惯和生活习惯养成
2)兴趣和能力培养：儿歌、绘本、绘画(简笔画)“费雪”“巧虎”“米卡”玩具等

任职要求：
1)年龄22-55周岁之间,身体健康、无不良嗜好;
2)2)具备基本的读写能力.沟通能力良好，普通话较为标准;
3)立志从事育婴行业的人员:
4)有一定的育婴经验，立志成为育婴行业的早教师/高级育婴师(育儿嫂);
早教师福利待遇:
1)三星早教师:5500-6500元/月
2)四星早教师:6500-7500元/月
3)五星早教师:7500-8500元/月","工作地点
河北省保定市莲池区西下关街8号
查看地图"
蒙氏教学主任,4000-6000元·13薪,3-5年,大专,"职位描述
幼师资格证
幼儿园
早教中心
托育中心
蒙氏教育
普通话水平测试二级甲等证书
良好职业道德爱学习.
最低专科学历 蒙氏教学经验至少三年，有蒙氏认证初级证书，中高级证书更佳","工作地点
山东省日照市东港区环翠路东港区秦楼街道荣成路59号
查看地图"
幼儿园教师（鹤壁市区）(J10701),2000-4000元,经验不限,大专,职位描述幼师  岗位职责:  1.协助班主任制定班级班务计划，并按计划开展各项保教活动；  2.科学组织班级一日生活活动，实施班级集体教学活动，积极参与创设班级环境，及时向家长反馈教学进度；  3.负责班级幼儿观察评估，完成幼儿成长档案；  4.协助组织班级家访、家长开放日、家长会等活动，向家长反馈幼儿在园学习和生活情况，做好家长沟通工作；  5.参与班级幼儿早晚接送工作，关注幼儿出勤，监督幼儿在教学、室内外活动、进餐、离园等各环节的安全，及时发现班级安全隐患并及时处理；  6.班主任或领导交办的其他工作。  任职要求:  1.热爱幼儿和幼教行业，富有爱心、耐心、亲和力强，工作积极主动，有上进心，团队意识强，遵守职业道德；  2.学前教育、早期教育等相关专业毕业，大专及以上学历，普通话标准，持有幼儿教师资格证；  3.有幼儿教师工作经验者优先。,"工作地点
鹤壁淇滨区建业壹号城邦建业幼儿园
查看地图"
幼儿园教师,4000-5000元,1-3年,大专,"职位描述
教师
幼儿园
幼师资格证
普通话水平测试二级甲等证书
保育员职业资格证书
岗位内容：
1. 实施幼儿教育计划并监督学生学习进展；
2. 管理教室和学生行为，维持一个安全、积极的学习环境；
3. 与家长协商沟通，创建亲密的师生关系。
任职要求：
1. 拥有不少于两年的幼儿教育工作经验；
2. 具有幼儿或相关领域的本科及以上学历；
3. 热爱幼儿教育且具有耐心和细心的态度；
4. 能够主动解决问题且善于沟通交流。","工作地点
成都武侯区武侯大道新苗西街41号
查看地图"
幼儿教育实习生,50-77元/天,,大专,"职位描述
可转正
实习证明
助教
幼儿园
幼师资格证
普通话水平测试二级甲等证书
1、辅助班级老师进行课堂教学，参与日常教育活动的设计与实施；
2、幼儿一日常规，确保幼儿在园内的安全与身心健康；
3、参与教室环境创设和各种活动材料准备；
4、幼儿档案记录；
5、参加教学研讨，分享经验与学习心得；
6、参与幼儿园对内对外交流活动（家长开放日、社会选窜、亲子活动、节日活动等）；
7、其他临时应承担的教学或行政支持工作。","工作地点
锦州太和区三只小熊幼儿园德新里31-5
查看地图"
幼儿园主班老师,3000-4000元,1-3年,大专,"职位描述
幼儿园
幼师资格证
1. 负责3-6岁幼儿的日常教学工作； 2. 根据课程计划备课、上课； 3. 组织幼儿活动，促进其身心健康发展； 4. 与家长沟通，反馈幼儿的学习和生活情况。 要求： 1. 学前教育专业背景； 2. 有爱心，耐心，责任心； 3. 善于沟通，团队协作； 4. 有幼儿园工作经验者优先。","工作地点
天津市南开区华苑街道华苑路100号
查看地图"
幼儿园主班老师,5000-7000元,1-3年,大专,"职位描述
双语教师
幼儿园
早教中心
幼师资格证
一、岗位职责

1. 全面负责托小班幼儿一日保教工作，涵盖生活照料、教学活动、游戏组织及安全监管。
​
2. 依据幼儿年龄特点，设计趣味启蒙活动，培养生活自理能力与初步社交能力，安抚幼儿分离焦虑。
​
3. 密切关注幼儿身心状态，及时处理突发情况，排查班级安全隐患，筑牢安全防线。
​
4. 做好家园沟通，定期反馈幼儿在园情况，配合园所开展家长会等活动。
​
5. 维护班级环境整洁有序，创设温馨有教育意义的班级氛围，配合园所完成教研及其他工作。
6.有良好的英文口语能力，可以配合外教开展活动。

二、任职要求

1. 大专及以上学历，学前教育等相关专业优先，持有幼儿园教师资格证者优先。
​
2. 热爱幼教事业，有爱心、耐心和责任心，熟悉幼儿身心发展规律。
​
3. 具备3年及以上幼儿园班长带班经验，能独立开展班级管理工作。
​
4. 沟通表达流畅，亲和力强，有团队协作意识，做事细致有条理。","工作地点
北京市北京市大兴区荣华街道经济开发区天华园三里1号洋房北京经济技术开发区美格幼儿园
查看地图"
早教全脑老师,3000-6000元,1-3年,大专,"职位描述
早教
教师
思维
培训机构
早教中心
幼师资格证
普通话水平测试二级甲等证书
1. 负责1-6岁幼儿的日常教学工作；
2. 根据课程计划备课、上课；
3. 组织幼儿活动，促进其身心健康发展；
4. 与家长沟通，反馈幼儿的学习情况。
5.配合中心进行学员升学活动
要求：
1. 学前教育专业背景；
2. 有爱心，耐心，责任心；
3. 善于沟通，团队协作；
4. 有工作经验者优先。
5. 有教师资格证者优先
公司福利:
双休，五险，工龄工资，团建活动，带薪年假，法定节假日休息，节假日福利等等","工作地点
天津市-北辰区-双新大道与顺境北路交叉口西北侧尚河城购物中心F2
查看地图"
